,precision,recall,f1-score,support
BENIGN,0.9995805620468572,0.9993410411549751,0.9994607872506142,50079.0
Bot,0.9210526315789473,0.7446808510638298,0.8235294117647058,47.0
DDoS,1.0,0.9996632996632997,0.9998316214850985,2970.0
DoS GoldenEye,0.9957627118644068,1.0,0.9978768577494692,235.0
DoS Hulk,0.9975272007912958,0.9990094105993066,0.9982677555060628,4038.0
DoS Slowhttptest,1.0,0.9834710743801653,0.9916666666666667,121.0
DoS slowloris,0.9923664122137404,0.9848484848484849,0.9885931558935361,132.0
FTP-Patator,1.0,1.0,1.0,137.0
PortScan,0.9887745556594949,0.9985829003306566,0.9936545240893067,2117.0
SSH-Patator,1.0,0.9864864864864865,0.9931972789115646,74.0
Web Attack ï¿½ Brute Force,0.775,0.8857142857142857,0.8266666666666667,35.0
Web Attack ï¿½ XSS,0.5714285714285714,0.2857142857142857,0.38095238095238093,14.0
accuracy,0.9987999799996666,0.9987999799996666,0.9987999799996666,0.9987999799996666
macro avg,0.9367910537986095,0.9056260099963147,0.9161414255780059,59999.0
weighted avg,0.9987609229363078,0.9987999799996666,0.9987587239327257,59999.0
